inventory_id,product_id,store_id,stock_quantity,reorder_level,last_restock_date
1,214,35,513.0,59,2024-05-07
2,25,34,913.0,58,2023-07-01
3,218,32,188.0,131,2023-01-02
4,231,14,214.0,91,2024-06-15
5,179,27,77.0,34,2024-08-18
6,302,34,396.0,43,2024-02-12
7,163,7,420.0,43,2023-01-06
8,47,30,71.0,145,2023-10-28
9,248,5,624.0,50,2024-12-07
10,149,14,338.0,42,2023-05-07
11,187,16,568.0,126,2023-06-20
12,79,29,327.0,145,2023-11-16
13,350,29,417.0,38,2023-02-09
14,135,10,616.0,56,2023-05-02
15,68,3,784.0,89,2024-06-01
16,331,14,582.0,130,2023-02-08
17,247,14,589.0,33,2023-03-21
18,30,4,581.0,137,2024-07-04
19,63,13,946.0,48,2023-08-24
20,135,32,99.0,43,2024-03-30
21,85,1,808.0,95,2023-04-24
22,92,35,16.0,26,2024-09-30
23,202,23,389.0,22,2023-01-30
24,294,32,62.0,110,2024-12-16
25,24,19,161.0,48,2023-06-05
26,4,3,927.0,111,2024-01-27
27,264,17,409.0,124,2023-05-02
28,89,3,200.0,62,2024-09-01
29,161,5,216.0,76,2023-02-04
30,242,27,86.0,108,2024-05-25
31,286,34,474.0,55,2023-11-18
32,346,35,516.0,82,2023-01-27
33,295,18,739.0,99,2024-03-30
34,291,21,753.0,128,2024-10-13
35,346,14,880.0,120,2024-08-30
36,234,5,0.0,63,2023-06-25
37,210,11,243.0,44,2024-05-17
38,298,24,930.0,149,2024-09-11
39,264,33,421.0,138,2023-08-15
40,224,3,211.0,26,2023-07-19
41,137,34,80.0,74,2023-11-02
42,2,32,843.0,63,2024-07-03
43,339,29,66.0,52,2024-10-07
44,84,23,803.0,100,2023-07-19
45,360,9,735.0,142,2024-06-30
46,186,32,444.0,48,2023-08-06
47,133,6,162.0,66,2024-10-17
48,295,26,747.0,150,2024-08-26
49,233,26,75.0,86,2024-07-11
50,81,31,625.0,20,2024-06-24
51,91,16,334.0,78,2023-10-28
52,2,13,618.0,81,2023-02-17
53,329,15,25.0,72,2023-06-09
54,343,4,345.0,137,2024-09-28
55,213,7,571.0,37,2024-08-29
56,293,1,673.0,51,2023-08-23
57,268,24,498.0,83,2023-07-17
58,241,21,888.0,56,2023-07-29
59,318,34,99.0,27,2024-08-12
60,324,14,555.0,93,2024-10-10
61,269,33,750.0,142,2023-07-08
62,9999,999,477.0,76,2023-08-14
63,194,4,323.0,90,2023-03-21
64,349,2,820.0,145,2023-05-08
65,139,26,754.0,88,2024-06-08
66,227,3,719.0,51,2023-05-29
67,290,3,581.0,60,2023-02-17
68,146,31,16.0,132,2023-08-15
69,297,32,132.0,25,2023-12-12
70,161,8,846.0,102,2023-08-14
71,233,11,950.0,80,2024-02-11
72,336,2,923.0,55,2023-08-11
73,180,11,646.0,92,2024-07-10
74,308,15,907.0,27,2023-10-21
75,206,12,656.0,22,2023-07-22
76,121,6,119.0,132,2024-01-30
77,252,14,915.0,45,2023-06-21
78,158,25,581.0,140,2023-09-04
79,357,26,459.0,100,2024-10-10
80,20,1,981.0,94,2024-06-07
81,177,17,116.0,53,2024-03-02
82,88,23,477.0,99,2023-06-27
83,193,12,643.0,108,2024-10-17
84,102,10,183.0,138,2023-03-17
85,88,13,60.0,53,2023-03-26
86,138,16,36.0,58,2024-04-15
87,216,2,857.0,144,2024-01-12
88,50,8,590.0,67,2023-03-09
89,51,16,248.0,150,2024-01-19
90,127,16,295.0,85,2024-03-20
91,226,9,802.0,138,2024-11-08
92,229,20,423.0,67,2024-02-09
93,28,21,58.0,101,2023-12-19
94,281,1,0.0,45,2023-01-26
95,32,12,0.0,119,2024-07-26
96,352,5,256.0,89,2023-09-22
97,237,2,834.0,144,2023-05-16
98,145,9,861.0,94,2023-01-17
99,194,2,788.0,52,2024-03-30
100,48,6,369.0,24,2023-05-20
101,197,12,852.0,103,2023-10-05
102,289,5,792.0,42,2024-06-18
103,264,4,327.0,110,2024-06-11
104,242,35,0.0,34,2023-06-10
105,136,13,558.0,126,2023-05-31
106,78,30,950.0,136,2023-03-24
107,262,3,95.0,37,2023-12-11
108,111,7,477.0,44,2023-06-02
109,287,7,547.0,148,2024-06-15
110,279,17,68.0,79,2024-11-20
111,85,12,749.0,55,2023-09-14
112,85,7,249.0,95,2023-06-27
113,256,27,816.0,22,2024-04-08
114,30,4,403.0,134,2024-04-06
115,283,21,157.0,111,2024-12-06
116,30,14,589.0,37,2023-12-31
117,335,18,19.0,150,2023-10-26
118,347,3,551.0,138,2024-01-05
119,37,27,378.0,92,2023-12-05
120,116,33,660.0,116,2024-11-05
121,155,12,676.0,120,2023-08-20
122,273,30,270.0,21,2023-11-17
123,342,30,477.0,114,2024-06-07
124,9999,999,0.0,95,2024-01-03
125,110,9,930.0,117,2024-08-16
126,142,32,476.0,43,2023-06-09
127,152,4,757.0,56,2024-12-14
128,25,16,269.0,83,2023-12-30
129,294,6,378.0,104,2023-06-21
130,72,21,580.0,127,2024-02-26
131,28,8,168.0,29,2023-02-14
132,57,3,207.0,49,2024-02-24
133,10,24,919.0,56,2024-11-13
134,124,32,445.0,97,2023-07-25
135,335,34,374.0,109,2023-04-16
136,220,8,636.0,50,2023-11-06
137,197,1,430.0,134,2024-08-28
138,21,26,250.0,96,2024-08-28
139,342,35,622.0,123,2024-09-17
140,224,26,657.0,29,2023-06-02
141,297,16,315.0,107,2023-05-12
142,181,12,282.0,45,2024-06-07
143,292,29,266.0,140,2024-01-27
144,126,27,133.0,30,2023-08-09
145,132,16,477.0,70,2023-03-15
146,346,11,697.0,29,2023-04-14
147,9,1,870.0,92,2023-09-30
148,271,22,362.0,125,2024-08-31
149,113,15,477.0,109,2024-07-07
150,268,2,939.0,40,2024-07-17
151,4,22,815.0,118,2023-11-06
152,90,23,386.0,133,2023-05-05
153,140,33,511.0,95,2024-10-24
154,32,8,846.0,145,2024-07-15
155,294,25,451.0,57,2024-08-21
156,254,20,191.0,108,2023-07-02
157,143,17,327.0,110,2024-11-13
158,143,26,526.0,102,2024-02-26
159,137,8,590.0,55,2023-04-05
160,10,25,988.0,40,2024-10-04
161,142,13,212.0,80,2023-08-04
162,355,12,776.0,24,2023-12-30
163,360,18,903.0,115,2023-08-02
164,14,12,265.0,45,2023-08-21
165,209,2,287.0,132,2023-05-22
166,154,21,271.0,32,2024-12-02
167,57,22,749.0,79,2023-11-07
168,114,18,587.0,80,2024-02-10
169,158,19,946.0,134,2024-02-29
170,79,5,227.0,145,2023-09-03
171,214,30,246.0,114,2023-01-27
172,258,33,524.0,78,2024-05-07
173,6,21,730.0,28,2023-09-25
174,259,18,623.0,23,2023-07-29
175,156,35,56.0,128,2024-04-16
176,298,28,685.0,106,2023-03-22
177,41,9,983.0,21,2024-05-27
178,190,3,396.0,44,2023-05-02
179,359,5,243.0,123,2024-12-31
180,199,18,575.0,61,2024-07-16
181,195,9,984.0,130,2024-01-04
182,173,2,455.0,139,2023-06-02
183,207,28,104.0,77,2024-03-24
184,27,10,929.0,61,2023-12-22
185,4,27,703.0,20,2023-04-26
186,295,19,817.0,51,2024-08-17
187,234,15,467.0,48,2024-10-12
188,266,14,655.0,111,2023-01-26
189,313,4,0.0,68,2024-01-24
190,38,1,487.0,90,2023-09-05
191,350,32,787.0,84,2024-07-17
192,270,15,314.0,58,2024-06-04
193,228,2,706.0,116,2023-01-04
194,218,6,13.0,122,2023-05-13
195,82,15,585.0,150,2023-12-16
196,138,22,568.0,27,2024-03-01
197,248,33,126.0,57,2024-07-20
198,333,28,697.0,95,2023-03-26
199,282,14,732.0,90,2024-05-31
200,357,1,917.0,31,2024-02-08
201,104,4,870.0,36,2023-11-06
202,335,21,156.0,51,2023-11-08
203,43,9,105.0,148,2024-09-29
204,185,5,458.0,73,2024-11-14
205,96,27,155.0,28,2023-11-26
206,17,31,864.0,104,2024-10-02
207,308,23,982.0,138,2023-11-18
208,101,11,531.0,104,2024-12-12
209,164,23,930.0,86,2023-05-24
210,51,16,477.0,96,2023-02-21
211,100,9,545.0,116,2023-10-08
212,150,24,606.0,62,2024-04-14
213,243,17,501.0,52,2023-01-13
214,202,17,379.0,61,2024-05-08
215,71,19,242.0,45,2024-02-27
216,173,21,477.0,117,2023-12-17
217,186,22,740.0,127,2023-05-31
218,329,20,3.0,99,2023-02-06
219,79,14,507.0,26,2024-01-30
220,305,24,316.0,137,2024-02-07
221,161,30,477.0,149,2024-06-26
222,301,34,916.0,82,2023-02-04
223,309,33,97.0,68,2024-06-17
224,275,6,123.0,78,2024-03-27
225,160,15,745.0,107,2023-04-20
226,316,10,241.0,80,2024-12-02
227,129,20,484.0,26,2024-11-19
228,15,18,749.0,138,2023-04-01
229,353,23,171.0,85,2023-07-17
230,232,31,624.0,94,2024-12-01
231,302,4,679.0,135,2023-08-17
232,221,12,64.0,129,2024-02-12
233,335,7,144.0,102,2024-08-26
234,179,6,601.0,38,2023-10-16
235,330,3,750.0,71,2023-09-26
236,329,29,684.0,57,2023-05-12
237,160,29,663.0,70,2024-07-23
238,215,26,772.0,71,2024-05-25
239,197,2,180.0,57,2023-06-02
240,302,1,477.0,119,2023-05-29
241,32,21,223.0,51,2024-09-25
242,223,13,351.0,142,2023-12-05
243,75,34,477.0,90,2023-07-20
244,294,12,491.0,79,2023-12-05
245,10,12,245.0,123,2023-10-17
246,202,7,588.0,55,2024-09-22
247,41,16,649.0,113,2023-04-15
248,291,35,179.0,20,2024-01-09
249,318,26,112.0,122,2024-05-31
250,45,30,490.0,143,2024-06-05
251,119,14,82.0,78,2023-06-12
252,149,28,980.0,63,2024-03-28
253,73,15,273.0,51,2024-05-28
254,347,24,485.0,144,2024-12-17
255,309,4,272.0,123,2023-11-06
256,207,1,677.0,99,2024-04-05
257,353,17,144.0,114,2024-09-16
258,271,20,512.0,70,2023-02-19
259,336,24,635.0,55,2024-04-14
260,349,26,397.0,31,2023-07-21
261,292,35,159.0,126,2023-04-29
262,89,27,98.0,60,2023-10-23
263,310,23,477.0,112,2023-11-30
264,218,4,680.0,29,2023-01-22
265,237,10,475.0,67,2024-06-08
266,143,4,265.0,125,2023-04-29
267,326,30,540.0,24,2023-09-29
268,29,31,697.0,111,2024-12-16
269,287,9,927.0,87,2024-06-22
270,41,30,585.0,125,2024-04-06
271,264,18,134.0,97,2024-05-11
272,250,8,543.0,100,2023-12-15
273,194,3,870.0,128,2023-06-26
274,9,29,477.0,53,2023-10-02
275,5,6,294.0,121,2023-09-02
276,274,11,586.0,24,2024-05-08
277,137,6,477.0,90,2024-11-07
278,335,30,396.0,60,2024-10-25
279,140,14,771.0,43,2023-04-17
280,137,12,767.0,136,2024-03-04
281,54,1,655.0,76,2024-09-29
282,158,11,583.0,130,2024-05-27
283,245,32,869.0,104,2024-05-26
284,274,6,996.0,49,2024-10-28
285,189,3,523.0,112,2024-09-19
286,251,13,902.0,47,2024-04-16
287,106,26,853.0,135,2023-01-02
288,108,9,664.0,44,2023-05-30
289,160,35,666.0,67,2023-11-15
290,201,13,966.0,67,2023-09-24
291,256,13,477.0,137,2024-03-26
292,71,8,477.0,118,2023-04-07
293,286,11,477.0,37,2024-04-01
294,335,12,865.0,37,2023-06-22
295,268,1,547.0,126,2023-01-02
296,241,12,392.0,83,2023-11-14
297,152,20,106.0,101,2024-02-17
298,34,35,77.0,70,2024-06-05
299,292,7,338.0,145,2023-11-29
300,226,24,631.0,98,2024-01-25
301,328,23,718.0,99,2023-10-28
302,292,1,67.0,79,2023-07-03
303,289,28,875.0,95,2023-12-08
304,27,25,750.0,54,2024-01-19
305,252,15,220.0,64,2024-03-25
306,340,14,769.0,148,2024-08-15
307,55,25,503.0,62,2023-04-02
308,251,31,789.0,37,2023-10-11
309,263,35,944.0,133,2023-12-06
310,292,23,750.0,33,2023-05-23
311,60,29,377.0,150,2024-03-11
312,194,10,698.0,77,2023-04-18
313,215,24,431.0,103,2023-09-11
314,164,12,0.0,45,2023-04-15
315,198,3,235.0,129,2024-08-01
316,266,24,963.0,75,2024-10-05
317,45,35,703.0,47,2024-05-19
318,278,10,69.0,40,2024-12-14
319,250,22,658.0,32,2024-03-21
320,198,29,482.0,144,2024-02-29
321,218,15,900.0,28,2024-03-11
322,279,9,50.0,21,2024-12-05
323,88,33,670.0,48,2024-09-01
324,81,24,882.0,143,2024-04-12
325,273,27,525.0,39,2024-06-30
326,211,32,400.0,52,2023-11-26
327,139,35,33.0,145,2023-03-16
328,9,7,589.0,146,2023-06-26
329,186,31,318.0,101,2024-06-12
330,214,2,115.0,41,2024-10-27
331,318,24,579.0,123,2024-12-16
332,168,7,608.0,144,2023-08-07
333,258,15,581.0,32,2023-03-28
334,120,24,0.0,69,2023-12-29
335,259,3,884.0,142,2023-02-01
336,68,21,774.0,100,2024-05-09
337,283,19,495.0,117,2023-06-19
338,181,6,321.0,71,2023-12-02
339,69,24,748.0,32,2023-12-11
340,21,13,60.0,42,2023-04-19
341,342,33,762.0,51,2024-05-14
342,90,34,700.0,38,2023-01-17
343,203,23,766.0,25,2024-09-13
344,302,18,955.0,119,2023-03-01
345,85,29,477.0,70,2023-05-31
346,105,17,740.0,66,2023-05-01
347,313,2,390.0,148,2024-10-16
348,84,22,692.0,121,2023-01-28
349,245,8,66.0,104,2024-11-07
350,282,2,189.0,22,2023-03-07
351,340,20,532.0,105,2024-10-06
352,298,25,770.0,146,2023-10-22
353,285,8,306.0,67,2023-02-11
354,155,3,756.0,67,2023-01-29
355,184,27,113.0,57,2023-02-21
356,7,7,697.0,41,2023-07-02
357,154,7,474.0,59,2024-11-20
358,253,15,955.0,92,2023-11-27
359,214,20,533.0,76,2024-12-13
360,341,9,427.0,94,2023-08-27
361,260,3,824.0,29,2024-12-24
362,166,28,487.0,29,2024-10-06
363,171,30,445.0,73,2024-10-31
364,162,26,961.0,130,2023-12-28
365,272,27,276.0,72,2023-10-19
366,241,13,793.0,114,2023-06-09
367,179,23,322.0,84,2024-07-17
368,182,25,555.0,80,2023-11-27
369,105,1,902.0,86,2024-01-26
370,274,10,768.0,28,2023-10-14
371,165,28,451.0,104,2023-06-23
372,22,20,487.0,102,2024-07-27
373,333,21,182.0,109,2024-12-06
374,115,22,857.0,88,2023-08-15
375,193,8,64.0,96,2024-11-18
376,360,22,617.0,108,2023-10-28
377,116,31,754.0,140,2023-04-16
378,122,26,643.0,61,2023-09-09
379,148,9,507.0,148,2023-01-13
380,127,18,746.0,43,2023-05-29
381,54,6,545.0,26,2023-02-12
382,97,2,206.0,35,2024-07-25
383,273,11,496.0,102,2023-08-20
384,9999,999,0.0,106,2024-07-09
385,216,12,60.0,87,2024-01-11
386,27,15,600.0,51,2024-12-01
387,1,4,853.0,140,2024-07-19
388,190,12,619.0,132,2024-09-23
389,25,10,367.0,111,2023-02-04
390,213,22,297.0,51,2024-08-16
391,178,3,414.0,63,2023-12-25
392,234,33,903.0,27,2024-10-28
393,119,21,261.0,111,2023-01-10
394,38,23,28.0,134,2024-02-06
395,209,4,383.0,38,2023-03-29
396,2,13,683.0,45,2023-05-22
397,90,14,194.0,24,2023-02-14
398,337,31,645.0,138,2024-09-11
399,126,16,204.0,73,2023-01-08
400,147,19,427.0,70,2024-11-17
401,233,23,904.0,91,2023-11-04
402,8,7,862.0,99,2023-12-25
403,356,12,321.0,142,2024-12-10
404,117,28,224.0,39,2024-02-21
405,165,32,550.0,49,2024-10-19
406,245,3,456.0,47,2023-01-07
407,353,25,245.0,84,2024-12-14
408,120,13,813.0,103,2024-10-30
409,109,35,186.0,113,2023-04-28
410,267,10,477.0,33,2024-04-20
411,21,9,240.0,96,2023-03-12
412,277,16,957.0,133,2023-04-22
413,227,24,966.0,74,2023-04-03
414,326,24,188.0,92,2023-01-07
415,236,18,521.0,71,2023-11-25
416,194,19,860.0,57,2024-01-28
417,152,32,995.0,24,2023-09-23
418,296,32,803.0,55,2024-12-30
419,83,3,171.0,26,2023-07-25
420,314,10,852.0,41,2023-05-20
421,128,22,495.0,102,2024-07-11
422,140,25,19.0,48,2024-04-30
