order_item_id,order_id,product_id,quantity,unit_price_inr,discount_amount_inr,line_total_inr
1,3615,116,2,14748.96,6365.16,23132.76
2,638,121,7,7436.79,9629.47,42428.06
3,11609,114,9,7159.53,17796.38,46639.39
4,8136,242,5,13497.06,14168.03,53317.27
5,12988,297,6,9701.43,6303.55,51905.03
6,7694,331,6,4262.56,5712.3,19863.06
8,20914,76,4,3920.17,3207.38,12473.3
9,545,309,8,8622.59,11506.77,57473.95
10,13223,76,4,13723.57,15177.59,39716.69
11,4331,234,4,3250.47,282.27,12719.61
12,20434,241,5,12514.76,15453.0,47120.8
13,15188,167,6,14515.7,19590.29,67503.91
14,13117,186,7,4339.07,7712.42,22661.07
15,6546,281,4,4237.29,56.21,16892.95
16,117,223,9,12121.89,25164.05,83932.96
17,29205,21,5,9151.29,1137.46,44618.99
18,2807,59,8,13042.69,5628.03,492523.18
19,14151,357,10,3502.94,3979.54,31049.86
20,13,116,8,2948.16,4805.85,18779.43
21,2509,245,1,11660.6,1265.0,10395.6
22,12993,246,1,14587.05,3337.12,11249.93
23,25850,139,5,9432.27,13923.87,33237.48
24,3344,73,8,11167.95,3253.18,86090.42
25,9233,52,6,12386.53,11657.42,62661.76
26,26497,233,1,12714.27,995.92,11718.35
27,14909,37,9,11783.13,10980.22,95067.95
28,7533,203,10,11439.88,19723.06,94675.74
29,1654,294,9,2537.85,4182.93,18657.72
30,9092,239,1,10816.25,2479.05,8337.2
31,5907,62,10,7484.59,63.03,74782.87
32,1210,70,5,6591.31,2483.82,30472.73
33,15047,17,1,2511.6,660.49,1851.11
34,1971,312,5,1453.35,786.44,6480.31
35,11134,17,5,3314.71,4379.85,12193.7
36,13025,229,6,14288.57,21129.11,64602.31
37,25397,110,6,3463.03,5788.81,14989.37
38,27061,111,6,4287.59,3563.88,22161.66
39,22429,194,7,3614.63,3075.65,22226.76
40,1305,327,5,7657.34,10803.97,27482.73
41,22914,207,5,1384.56,1512.98,5409.82
42,10247,13,8,1597.46,1842.03,10937.65
43,12826,92,8,5100.92,10805.54,30001.82
44,16729,49,4,14456.07,9825.95,47998.33
45,13547,283,8,130.49,112.55,931.37
46,4121,210,9,6169.71,5584.15,49943.24
47,16043,206,7,9843.56,4757.09,64147.83
48,29209,358,5,1999.32,2784.23,7212.37
49,14147,346,4,2205.24,2165.16,6655.8
50,23822,304,2,10206.93,3495.14,16918.72
51,1267,14,7,557.8,141.42,3763.18
52,3927,263,4,372.38,45.23,1444.29
53,9495,191,7,2246.27,2979.56,12744.33
54,21663,72,4,5159.72,4519.09,16119.79
55,16145,156,2,2306.53,563.98,4049.08
56,7044,139,9,1500.56,11.99,13493.05
57,20461,82,5,8532.8,10693.13,31970.87
58,4055,264,2,850.27,457.75,1242.79
59,17674,141,10,8518.08,20211.11,64969.69
60,28617,120,2,10961.54,4068.92,17854.16
61,1910,335,7,11596.3,22355.9,58818.2
62,21738,126,9,3120.34,7331.34,20751.72
63,13737,89,6,8689.16,6897.06,45237.9
64,7726,184,1,805.56,222.08,583.48
65,23002,349,1,8315.19,1293.33,7021.86
66,12720,136,10,14262.78,39560.32,103067.48
67,20440,50,6,210.9,206.21,1059.19
68,21804,165,3,6680.42,5013.41,15027.85
69,3244,146,7,460.28,497.95,2724.01
70,22104,137,7,11922.09,624.87,82829.76
71,13548,308,2,9327.65,2578.84,16076.46
72,29827,13,2,1444.12,317.79,2570.45
73,2900,228,2,212.99,114.15,311.83
75,9282,214,9,8203.63,15710.94,58121.73
76,29037,5,4,9782.68,1007.47,38123.25
77,28099,287,2,5778.2,1050.89,10505.51
78,27848,116,3,232.22,48.63,648.03
79,3689,284,4,2309.82,805.64,8433.64
80,24902,22,8,14977.24,10932.94,108884.98
81,2074,131,2,11885.28,0.0,17724.73
82,20694,5,1,5700.4,1129.28,4571.12
83,7018,52,1,6493.76,1565.54,4928.22
84,17913,125,1,2712.36,446.82,2265.54
85,7190,198,3,5534.05,3280.06,13322.09
86,1807,263,8,6747.31,16005.45,37973.03
87,27374,65,5,3062.98,357.6,14957.3
88,1135,175,5,13986.88,4083.95,65850.45
89,21433,288,4,7555.94,4284.42,25939.34
90,13535,268,5,14874.15,1202.84,73167.91
91,26303,236,3,6344.76,5183.66,13850.62
93,15145,229,8,6812.84,5481.11,49021.61
94,3480,118,10,2904.63,3108.44,25937.86
95,21045,192,5,4020.54,690.05,19412.65
96,16325,154,1,181.51,23.89,157.62
97,11837,69,6,12106.74,21415.71,51224.73
98,26530,285,1,9362.35,2242.34,7120.01
99,20733,293,6,3720.3,657.47,21664.33
100,18572,44,2,1155.21,521.22,1789.2
101,12029,260,4,6270.07,0.0,22926.04
102,6363,229,10,8796.05,14171.15,73789.35
103,10196,122,5,103.76,111.24,407.56
104,27712,294,4,10656.93,0.0,37457.93
105,4931,30,2,12553.63,6165.54,18941.72
106,1007,136,4,3267.39,2789.28,10280.28
107,15734,156,3,7858.92,6356.03,17220.73
108,9306,193,4,7220.3,2728.55,26152.65
109,19526,257,6,5624.58,1924.56,31822.92
110,12295,72,7,4760.59,4899.81,28424.32
111,19270,233,10,7722.61,10683.4,66542.7
112,6456,235,2,3082.52,401.57,5763.47
113,20003,54,4,8898.72,6254.07,29340.81
114,4834,322,6,1425.94,2482.76,6072.88
115,6281,308,1,11018.44,1780.48,9237.96
116,22483,95,2,10244.11,3363.59,17124.63
117,10736,289,5,10455.02,220.96,52054.14
118,25561,26,6,1266.17,1448.53,6148.49
119,17209,338,7,8701.25,10320.25,50588.5
120,11958,293,4,11658.81,1824.34,44810.9
121,13843,68,1,10887.18,1358.62,9528.56
122,1608,141,4,7696.3,2706.31,28078.89
