product_id,product_name,category_id,supplier_id,cost_price_inr,unit_price_inr
1,Ultra Fruit Juice 1L,14,17,2398.34,4155.72
2,Royal Kurta Set,3,31,3140.68,4148.41
3,Deluxe Wheat Flour 10kg,1,26,2435.22,4282.73
4,Classic Kurta Set,3,34,747.6,1276.82
5,Smart Notebook Pack,9,35,9454.05,13294.92
6,Compact Herbal Shampoo,6,22,11474.3,16494.11
7,Royal Cooking Oil 1L,1,17,4664.89,8293.58
8,Premium Hand Sanitizer,15,3,3340.13,4472.87
9,Deluxe Face Wash,6,32,-3424.35,1715.76
10,Compact USB Cable,2,35,3379.4,5168.23
11,Deluxe Bed Side Table,10,9,231.4,386.66
12,Smart Bluetooth Speaker,2,26,12177.33,21659.06
13,Ultra Hand Sanitizer,15,42,8685.52,13386.32
14,Premium Cotton Shirt,3,4,7982.28,11286.09
15,Premium Whole Wheat Bread,13,40,8272.83,14573.4
16,Ultra Bed Side Table,10,12,7638.47,9100.84
17,Royal Toaster,12,1,5639.88,8086.58
18,Deluxe Earphones,11,15,14949.22,19731.88
19,Premium Hand Sanitizer,15,18,9545.27,15191.32
20,Eco Storage Container Set,5,6,13203.08,15314.23
21,Deluxe Electric Kettle,12,21,2895.22,4061.01
22,Essential Soft Drink 2L,14,34,10470.32,17876.92
23,Eco Bookshelf,10,26,9346.88,11221.6
24,Classic Basmati Rice 5kg,1,40,,19149.83
25,Premium Wheat Flour 10kg,1,45,1036.06,1222.91
26,Classic Flip Flops,4,25,1624.6,2085.53
27,Smart Green Tea Pack,14,31,1516.16,1840.03
28,Pro Body Lotion,6,17,333.36,438.99
29,Ultra Body Lotion,6,33,7151.72,9561.65
30,Royal Sugar 1kg,1,7,5214.79,8385.53
31,Ultra Green Tea Pack,14,19,2572.16,2960.16
32,Compact Basmati Rice 5kg,1,32,1453.42,2328.21
33,Royal Bookshelf,10,17,8678.55,10876.67
34,Deluxe Formal Shoes,4,8,14081.9,23212.97
35,Compact Notebook Pack,9,23,1445.32,2534.41
36,Compact Yoga Mat,7,14,4561.05,6514.27
37,Essential Protein Powder,15,9,7982.54,13094.63
38,Royal Body Lotion,6,10,13022.61,18787.71
39,Smart Board Game,8,38,3480.75,4758.65
40,Smart Ball Pen Set,9,20,11325.93,19109.57
41,Ultra Casual Sneakers,4,34,5242.51,6833.81
42,Deluxe Mixer Grinder,12,43,1542.54,2159.17
43,Pro Induction Cooktop,12,18,2958.94,4629.82
44,Premium Football,7,1,5997.34,9980.49
45,Essential Charging Cable,11,2,2144.35,3307.47
46,Ultra Face Mask Pack,15,38,11241.52,16005.12
47,Deluxe Protein Powder,15,42,1880.75,2691.62
48,Eco Face Mask Pack,15,26,10702.99,16688.63
49,Ultra Building Blocks Set,8,27,7783.42,12295.6
50,Pro Face Wash,6,32,13624.72,16610.54
51,Royal Electric Kettle,12,23,1534.28,2337.42
52,Compact Notebook Pack,9,34,5155.92,8416.38
53,Royal Formal Trousers,3,8,10942.02,16950.3
54,Premium Football,7,1,1146.27,2000.28
55,Classic Bookshelf,10,15,4566.36,6439.99
56,Essential Muffins Box,13,14,2484.71,4358.49
57,Royal Formal Shoes,4,15,12223.3,15218.88
58,Essential Muffins Box,13,19,11403.12,17928.5
59,Smart Chocolate Cake,13,25,10318.02,18457.69
60,Compact Cookies Pack,13,16,9822.95,13341.61
61,Deluxe Power Bank 10000mAh,2,20,12819.59,15218.02
62,Royal Chocolate Cake,13,999,-9504.77,8370.92
63,Ultra Non-Stick Pan,5,10,12815.52,16284.44
64,Royal Formal Shoes,4,11,9150.51,14615.35
65,Eco Hand Sanitizer,15,32,10398.03,15545.23
66,Royal Multivitamin Tablets,15,8,3982.12,5185.57
67,Essential Sugar 1kg,1,10,10512.32,13773.96
68,Deluxe Mixer Grinder,12,21,7030.05,10655.23
69,Pro Sunscreen SPF50,6,44,,1797.81
70,Compact Study Table,10,7,7669.17,11235.63
71,Deluxe Toaster,12,22,1435.09,2265.1
72,Smart Ball Pen Set,9,28,5142.49,6754.77
73,Pro Sunscreen SPF50,6,22,7566.16,10037.3
74,Classic Earphones,11,22,2900.79,4680.62
75,Pro LED TV 43in,2,36,13286.31,19989.4
76,Eco Basmati Rice 5kg,1,31,9138.11,14417.29
77,Ultra Bed Side Table,10,10,9409.68,15080.54
78,Essential Running Shoes,4,41,11444.87,13915.65
79,Premium Whole Wheat Bread,13,24,13081.39,16222.92
80,Deluxe Fruit Juice 1L,14,27,532.93,619.93
81,Essential Multivitamin Tablets,15,37,7841.87,13222.11
82,Essential Toaster,12,5,231.67,324.72
83,Pro Formal Trousers,3,36,1548.61,2429.66
84,Premium Sugar 1kg,1,1,10262.74,12613.79
85,Deluxe Green Tea Pack,14,31,286.3,463.11
86,Compact Cotton Shirt,3,45,12835.32,20848.66
87,Essential Toaster,12,43,13986.55,18394.17
88,Premium Basmati Rice 5kg,1,42,10305.86,15993.1
89,Essential Plastic Chair,10,39,915.49,1271.54
90,Deluxe Tempered Glass,11,8,5461.72,8570.41
91,Smart Football,7,37,5021.61,6688.48
92,Ultra Cookies Pack,13,1,12472.7,19217.18
93,Pro Protein Powder,15,25,10278.63,15841.0
94,Compact Non-Stick Pan,5,17,4034.98,5052.73
95,Smart Whole Wheat Bread,13,10,12180.05,20872.75
96,Compact Soft Drink 2L,14,35,1294.25,1954.17
97,Smart Chocolate Cake,13,39,882.26,1241.4
98,Pro Study Table,10,30,8117.62,12164.24
99,Royal Resistance Band,7,17,13278.71,19774.76
100,Eco Leather Sandals,4,6,2726.79,4378.38
101,Deluxe Resistance Band,7,16,688.02,1237.16
102,Classic Earphones,11,10,4750.53,5556.85
103,Eco LED TV 43in,2,37,7305.01,11093.9
104,Essential Yoga Mat,7,38,12286.08,21823.2
105,Pro Leather Sandals,4,6,432.24,506.86
106,Ultra Building Blocks Set,8,41,5973.0,7334.52
107,Classic Plastic Chair,10,43,7607.39,9651.77
108,Deluxe Leather Sandals,4,3,14126.87,24888.14
109,Smart Basmati Rice 5kg,1,33,10649.93,16724.08
110,Premium Kurta Set,3,13,10159.8,13656.96
111,Compact Wireless Mouse,2,24,3870.02,4762.81
112,Premium Leather Sandals,4,30,10764.06,13743.74
113,Ultra Running Shoes,4,24,13332.84,16544.0
114,Premium Face Mask Pack,15,41,1145.81,2041.84
115,Deluxe Power Bank 10000mAh,2,22,3340.33,3964.54
116,Deluxe Formal Trousers,3,18,-6285.58,4578.39
117,Smart Chocolate Cake,13,32,1656.38,2395.99
118,Eco Notebook Pack,9,36,7172.28,9582.54
119,Smart Sunscreen SPF50,6,16,13877.69,16839.43
120,Smart Salt 1kg,1,10,14679.9,17034.83
121,Premium Formal Trousers,3,34,4310.19,5965.58
122,Deluxe Steel Dinner Set,5,12,7834.36,10182.89
123,Ultra Green Tea Pack,14,32,11423.97,14439.4
124,Ultra Tempered Glass,11,20,3050.32,3638.12
125,Royal Mixer Grinder,12,23,5041.59,8556.79
126,Essential Sugar 1kg,1,9,13082.76,17309.39
127,Deluxe Face Wash,6,999,-5580.06,3950.29
128,Classic Notebook Pack,9,23,10724.56,18025.28
129,Ultra Toaster,12,4,4387.29,5352.48
130,Royal Toor Dal 1kg,1,9,329.9,586.84
131,Smart Power Bank 10000mAh,2,36,12260.96,14339.78
132,Premium Casual Sneakers,4,39,9559.82,13876.66
133,Deluxe Face Wash,6,3,4109.74,5967.96
134,Classic LED TV 43in,2,26,13268.88,19930.37
135,Pro Earphones,11,11,14223.95,16528.67
136,Pro Study Table,10,4,11658.07,15972.22
137,Compact Resistance Band,7,26,12717.51,15067.83
138,Eco Hand Sanitizer,15,28,9953.51,11521.29
139,Eco Sunscreen SPF50,6,33,10043.72,13022.3
140,Premium Face Mask Pack,15,3,534.92,838.23
141,Ultra Non-Stick Pan,5,7,3773.71,5616.03
142,Smart Non-Stick Pan,5,23,9719.85,11938.38
143,Classic Sketch Book,9,30,8861.92,15559.33
144,Pro Hand Sanitizer,15,37,4338.84,5676.12
145,Ultra Soft Drink 2L,14,45,8561.28,13464.6
146,Ultra Puzzle 500pc,8,31,7045.1,9523.76
147,Ultra Story Book,9,26,197.93,272.99
148,Essential Sketch Book,9,18,4286.6,7681.08
149,Classic Printed T-Shirt,3,39,13071.67,18770.8
150,Classic Puzzle 500pc,8,34,3393.0,6017.65
151,Deluxe Body Lotion,6,44,3053.34,4723.49
152,Smart Wireless Mouse,2,41,10634.11,18551.82
153,Royal Sugar 1kg,1,38,1779.37,2506.01
154,Ultra Fruit Juice 1L,14,39,1683.17,2867.44
155,Compact Body Lotion,6,26,,12144.48
156,Pro Toaster,12,29,4514.34,6766.85
157,Eco Resistance Band,7,6,12328.14,16822.4
158,Eco Casual Sneakers,4,28,-13370.98,8057.61
159,Royal Storage Container Set,5,40,14974.95,22257.88
160,Compact Football,7,3,8928.91,12306.0
161,Classic Ball Pen Set,9,27,5628.75,7939.81
162,Pro Protein Powder,15,32,6036.58,9952.89
163,Deluxe Mixer Grinder,12,24,4784.8,8545.54
164,Compact Power Bank 10000mAh,2,33,13324.39,18968.29
165,Royal Ball Pen Set,9,13,6195.65,7367.31
166,Pro Study Table,10,1,,15948.04
167,Classic Pressure Cooker,5,38,251.31,293.83
168,Royal Bookshelf,10,33,14956.7,22785.1
169,Royal Printed T-Shirt,3,7,454.93,545.68
170,Premium Board Game,8,42,207.12,341.93
171,Deluxe Body Lotion,6,3,4013.82,4875.37
172,Essential Herbal Shampoo,6,40,5797.14,6872.75
173,Premium Sugar 1kg,1,40,3589.62,4648.14
174,Premium Kurta Set,3,30,4569.07,7043.95
175,Pro Bluetooth Speaker,2,44,10782.62,13951.73
176,Eco Building Blocks Set,8,6,2618.54,3621.33
177,Royal Pressure Cooker,5,24,1741.0,2606.17
178,Pro LED TV 43in,2,23,8316.54,11658.01
179,Smart Yoga Mat,7,43,398.76,667.19
180,Royal Casual Sneakers,4,9,8333.54,12113.5
181,Eco Body Lotion,6,26,5665.87,10045.37
182,Eco Ball Pen Set,9,29,10136.03,17863.3
183,Royal Puzzle 500pc,8,16,6074.18,8999.66
184,Royal Phone Case,11,18,-11044.36,8695.13
185,Classic Sugar 1kg,1,45,2672.17,4551.11
186,Royal LED TV 43in,2,24,12081.6,19850.01
187,Smart Bluetooth Speaker,2,9,12256.13,17272.96
188,Smart Remote Control Car,8,12,463.02,737.01
189,Essential Yoga Mat,7,16,14999.09,21153.85
190,Smart Non-Stick Pan,5,39,11016.12,17771.0
191,Eco Formal Trousers,3,20,2359.71,3846.12
