inventory_id,product_id,store_id,stock_quantity,reorder_level,last_restock_date
1,214,35,513,59,2024-05-07
2,25,34,913,58,2023-07-01
3,218,32,188,131,2023-01-02
4,231,14,214,91,2024-06-15
5,179,27,77,34,2024-08-18
6,302,34,396,43,2024-02-12
7,163,7,420,43,2023-01-06
8,47,30,71,145,2023-10-28
9,248,5,624,50,2024-12-07
10,149,14,338,42,2023-05-07
11,187,16,568,126,2023-06-20
12,79,29,327,145,2023-11-16
13,350,29,417,38,2023-02-09
14,135,10,616,56,2023-05-02
15,68,3,784,89,2024-06-01
16,331,14,582,130,2023-02-08
17,247,14,589,33,2023-03-21
18,30,4,581,137,2024-07-04
19,63,13,946,48,2023-08-24
20,135,32,99,43,2024-03-30
21,85,1,808,95,2023-04-24
22,92,35,16,26,2024-09-30
23,202,23,389,22,2023-01-30
24,294,32,62,110,2024-12-16
25,24,19,161,48,2023-06-05
26,4,3,927,111,2024-01-27
27,264,17,409,124,2023-05-02
28,89,3,200,62,2024-09-01
29,161,5,216,76,2023-02-04
30,242,27,86,108,2024-05-25
31,286,34,474,55,2023-11-18
32,346,35,516,82,2023-01-27
33,295,18,739,99,2024-03-30
34,291,21,753,128,2024-10-13
35,346,14,880,120,2024-08-30
36,234,5,-13,63,2023-06-25
37,210,11,243,44,2024-05-17
38,298,24,930,149,2024-09-11
39,264,33,421,138,2023-08-15
40,224,3,211,26,2023-07-19
41,137,34,80,74,2023-11-02
42,2,32,843,63,2024-07-03
43,339,29,66,52,2024-10-07
44,84,23,803,100,2023-07-19
45,360,9,735,142,2024-06-30
46,186,32,444,48,2023-08-06
47,133,6,162,66,2024-10-17
48,295,26,747,150,2024-08-26
49,233,26,75,86,2024-07-11
50,81,31,625,20,2024-06-24
51,91,16,334,78,2023-10-28
52,2,13,618,81,2023-02-17
53,329,15,25,72,2023-06-09
54,343,4,345,137,2024-09-28
55,213,7,571,37,2024-08-29
56,293,1,673,51,2023-08-23
57,268,24,498,83,2023-07-17
58,241,21,888,56,2023-07-29
59,318,34,99,27,2024-08-12
60,324,14,555,93,2024-10-10
61,269,33,750,142,2023-07-08
62,9999,999,,76,2023-08-14
63,194,4,323,90,2023-03-21
64,349,2,820,145,2023-05-08
65,139,26,754,88,2024-06-08
66,227,3,719,51,2023-05-29
67,290,3,581,60,2023-02-17
68,146,31,16,132,2023-08-15
69,297,32,132,25,2023-12-12
