movement_id,product_id,store_id,movement_type,quantity,movement_date,reference_order_id
1,179,21,OUT,389,2024-03-11,15656
2,125,9,IN,205,2024-09-12,
3,315,32,IN,70,2023-06-12,
4,174,33,OUT,468,2024-03-11,6621
5,227,11,OUT,282,2024-09-10,3233
6,344,30,OUT,3,2023-12-16,18488
7,158,11,OUT,22,2024-10-27,15887
8,344,30,OUT,219,2024-08-19,4263
9,128,24,IN,166,2023-06-12,
10,155,30,OUT,438,2023-12-10,29662
11,225,1,OUT,335,2023-04-26,16977
12,73,27,IN,202,2024-06-26,
13,260,24,IN,119,2024-09-09,
14,147,4,IN,287,2024-01-22,
15,136,30,IN,375,2023-10-28,
16,308,12,IN,439,2023-06-29,
17,136,30,IN,2,2023-12-01,
18,358,17,OUT,360,2023-01-09,22074
19,131,31,IN,188,2023-09-28,
20,234,5,OUT,159,2023-07-13,24564
21,212,33,OUT,83,2023-07-15,27243
22,124,15,OUT,16,2023-12-02,14281
23,214,4,IN,270,2023-10-24,
24,159,5,IN,118,2023-03-09,
25,128,21,OUT,218,2024-05-07,28036
26,91,5,OUT,454,2024-10-19,26557
27,278,30,OUT,2,2024-12-11,21581
28,313,7,OUT,285,2024-12-22,7581
29,338,28,OUT,55,2023-09-13,24072
30,304,5,IN,393,2024-03-02,
31,247,27,IN,489,2023-03-12,
32,349,4,IN,108,2023-07-28,
33,218,31,IN,438,2023-01-07,
34,232,18,IN,322,2023-05-31,
35,35,15,OUT,211,2024-09-01,19294
36,184,22,IN,25,2024-01-09,
37,81,25,IN,249,2024-05-13,
38,47,12,OUT,327,2023-08-22,14985
39,302,33,OUT,428,2023-12-02,29421
40,254,33,OUT,332,2024-12-06,7869
41,355,31,IN,497,2023-05-21,
42,126,30,IN,26,2024-12-17,
43,75,17,OUT,323,2023-09-24,6104
44,68,22,OUT,314,2024-06-30,8839
45,295,22,OUT,114,2023-10-17,23333
46,174,6,IN,336,2023-12-22,
47,152,30,IN,267,2024-11-29,
48,358,24,IN,299,2023-12-20,
49,57,21,OUT,286,2023-01-31,17680
50,347,11,IN,239,2024-11-05,
51,62,20,OUT,155,2023-08-12,21075
52,223,2,OUT,155,2024-06-20,7697
53,19,7,IN,426,2024-06-25,
54,30,24,OUT,12,2023-01-01,3651
55,211,34,OUT,283,2023-04-23,25206
56,202,11,OUT,364,2024-07-08,29900
57,178,7,IN,258,2024-07-11,
58,76,12,OUT,157,2024-04-17,21050
59,207,23,IN,397,2024-02-18,
60,123,12,OUT,443,2024-07-16,17535
61,354,33,IN,100,2024-01-25,
62,249,35,OUT,315,2023-06-10,25435
63,278,29,IN,240,2024-07-23,
64,84,6,IN,172,2024-08-17,
65,36,28,IN,315,2024-09-18,
66,318,3,OUT,387,2023-10-30,9568
67,23,9,OUT,351,2024-05-21,11483
68,310,28,OUT,348,2023-07-17,26866
69,173,24,OUT,51,2024-06-23,17939
70,79,14,OUT,63,2024-07-29,9938
71,107,14,IN,473,2024-12-01,
72,131,26,OUT,247,2023-09-18,10074
73,158,5,IN,54,2024-06-16,
74,76,28,IN,271,2024-10-18,
75,273,6,IN,498,2023-12-28,
76,267,15,IN,199,2024-04-09,
77,193,23,OUT,110,2024-02-29,6746
78,244,7,IN,0,2023-03-05,
79,209,28,IN,366,2024-04-16,
80,98,34,OUT,7,2024-07-17,3569
81,294,5,OUT,193,2023-04-05,1181
82,35,23,OUT,387,2024-05-05,21676
83,189,32,IN,4,2024-10-29,
84,262,16,IN,165,2023-08-05,
85,281,3,IN,369,2023-08-08,
86,14,29,OUT,264,2024-09-19,29252
87,196,20,IN,319,2024-06-18,
88,114,20,OUT,179,2023-07-19,29351
89,48,26,IN,461,2023-02-09,
90,138,18,IN,465,2024-05-20,
91,62,5,OUT,177,2023-07-05,993
92,111,18,IN,72,2023-04-08,
93,234,18,OUT,125,2024-03-10,9983
94,360,11,OUT,488,2023-04-28,11503
95,221,24,OUT,381,2024-11-15,6673
96,356,6,IN,439,2024-11-03,
97,239,33,OUT,299,2024-06-07,2735
98,316,2,IN,87,2023-04-13,
99,204,12,OUT,493,2024-01-01,20069
100,203,13,OUT,134,2023-01-28,20038
101,169,21,OUT,438,2023-08-22,7893
102,49,13,OUT,114,2024-05-10,21806
103,179,19,IN,343,2023-10-17,
104,22,28,IN,237,2024-11-07,
105,348,27,OUT,91,2024-08-22,18748
106,53,14,OUT,132,2024-11-12,17966
107,197,16,OUT,0,2024-05-25,9780
108,345,8,OUT,429,2023-11-28,16044
109,85,5,OUT,70,2023-05-20,13391
110,151,3,OUT,450,2024-07-08,7631
111,242,2,OUT,386,2023-09-23,9669
112,145,30,IN,367,2024-12-18,
113,97,11,OUT,115,2023-02-13,195
114,94,35,IN,149,2024-04-19,
115,149,32,OUT,96,2023-07-04,15806
116,61,33,OUT,213,2024-12-01,21410
117,91,35,OUT,363,2023-09-01,29570
118,340,8,OUT,99,2024-03-30,3536
119,288,10,IN,427,2024-09-04,
120,245,4,OUT,64,2023-06-03,14517
121,88,7,IN,20,2024-08-23,
