order_id,customer_id,store_id,order_date,payment_method,order_status,discount_pct,total_amount_inr
1,1150,5,2024-03-21,Debit Card,Completed,5,13661.37
2,2815,12,2024-06-06,Debit Card,Completed,5,16041.5
3,3345,11,2024-04-18,Net Banking,Completed,25,16927.23
4,1737,20,2023-04-11,UPI,Cancelled,5,20767.47
5,845,35,2023-08-03,UPI,Pending,5,7295.72
6,1385,10,2024-12-10,UPI,Completed,0,22677.56
7,4464,32,2024-04-25,Credit Card,Completed,15,17763.4
8,5891,15,2024-11-04,Cash,Completed,0,20697.22
9,5299,28,2024-11-20,Wallet,Completed,15,5120.56
10,1465,11,2024-01-03,Debit Card,Completed,5,3317.96
11,2016,7,2024-09-06,Debit Card,Completed,0,20601.9
12,1642,8,2024-07-03,Credit Card,Completed,25,13137.28
13,1026,3,2023-05-12,Wallet,Completed,20,10059.83
14,1011,25,2023-02-19,UPI,Completed,10,8292.8
15,663,14,2024-06-27,Debit Card,Completed,5,17174.19
16,5862,21,2023-10-10,Wallet,Completed,0,14133.28
17,1890,10,2024-08-29,Net Banking,Completed,25,11771.51
18,5077,18,2023-02-03,Wallet,Completed,10,11302.14
19,3303,25,2023-09-04,UPI,Completed,15,12660.51
20,200,16,2023-11-09,UPI,Completed,0,9692.2
21,3317,4,2023-06-12,UPI,Completed,0,
22,1438,8,2024-01-06,UPI,Pending,15,23397.05
23,123,25,2023-11-05,Cash,Completed,108,-15434.37
24,1388,1,2024-09-03,Debit Card,Completed,25,1332.75
25,2157,18,2023-11-07,Net Banking,Completed,20,12022.41
26,1165,24,2024-06-21,Credit Card,Completed,5,9105.41
27,99999,999,2023-09-11,Wallet,Completed,105,-5737.85
28,2569,24,2023-09-01,Net Banking,Completed,10,22528.67
29,783,27,2023-09-11,UPI,Completed,0,6998.08
30,5603,24,2023-03-30,Wallet,Completed,0,5678.22
31,192,7,2024-06-07,UPI,Completed,0,8455.26
32,4177,22,2024-04-27,Credit Card,Returned,20,23857.71
33,4369,35,2024-01-03,Debit Card,Pending,5,4171.58
34,2532,17,2024-01-19,Credit Card,Completed,0,490.34
35,715,35,2023-01-14,Credit Card,Completed,25,23937.07
36,5629,7,2023-07-24,Wallet,Completed,20,21281.44
37,4610,18,2024-06-05,Credit Card,Completed,15,14750.27
38,5497,18,2023-06-30,Net Banking,Completed,10,19453.17
39,2826,19,2023-09-27,Wallet,Pending,5,6873.62
40,3776,12,2024-08-06,Cash,Completed,25,4264.12
41,4919,31,2023-08-16,UPI,Returned,0,23438.03
42,2082,24,2024-06-07,Credit Card,Completed,0,14868.94
43,5997,2,2024-09-25,Cash,Completed,0,2195.44
44,4792,35,2023-12-03,Wallet,Completed,0,2080.03
45,2973,22,2024-06-24,Credit Card,Completed,25,19342.22
46,3447,35,2024-03-31,Wallet,Completed,0,6806.76
47,3039,33,2023-12-01,Wallet,Completed,0,3073.07
48,5081,15,2023-06-10,Wallet,Completed,25,12862.6
49,5671,18,2024-03-01,Net Banking,Completed,5,24615.2
50,2971,19,2024-11-26,Cash,Completed,5,17549.32
51,866,16,2024-11-17,Net Banking,Completed,15,10494.07
52,4922,4,2024-01-07,UPI,Completed,5,1310.35
53,4819,27,2023-08-07,Cash,Completed,0,20786.25
54,465,27,2024-05-09,Credit Card,Completed,0,19459.73
55,3938,13,2024-09-12,Net Banking,Completed,10,1245.81
56,99999,999,2023-05-03,Debit Card,Pending,87,-11671.31
57,3911,11,2023-04-25,Credit Card,Completed,0,18835.16
58,2214,1,2024-06-22,Net Banking,Returned,10,2340.14
59,2972,10,2024-11-19,Wallet,Completed,0,4946.02
60,5008,21,2024-06-11,Credit Card,Completed,0,17853.31
61,3304,5,2023-04-26,Cash,Completed,0,13624.81
62,3735,29,2023-05-13,Net Banking,Completed,15,15910.63
63,2907,11,2024-05-29,Net Banking,Completed,10,22890.29
